author,img,intro,name,state,type,url
齐佩甲,//bookcover.yuewen.com/qdbimg/349573/1009480992/150,韩萧，《星海》骨灰级代练，被来自东（zuo）方(zhe)的神秘力量扔进穿越大军，携带玩家面板变成NPC，回到《星海》公测之前，毅然选择难度最高的机械系。战舰列队纵横星海，星辰机甲夭矫如龙，幽能炮毁天灭,超神机械师,连载中,游戏异界,//book.qidian.com/info/1009480992
王梓钧,//bookcover.yuewen.com/qdbimg/349573/1005064061/150,周赫煊回到民国时代，不会带兵打仗，不懂科学技术，不喜从政从商，那他还能干什么？唉，抄书抄诗混日子吧。谁知抄着抄着就成大文豪了，动荡的时局推着周赫煊不断向前。有人崇拜他，有人仇视他，还有人想杀他，欲除之,民国之文豪崛起,完本,清史民国,//book.qidian.com/info/1005064061
小刀锋利,//bookcover.yuewen.com/qdbimg/349573/1009265821/150,鹰击长空，鱼跃龙门，熊咆虎啸，万物皆有灵。末法之极，磁极轮转，世界变迁。曾经那个熟悉的世界，已经变得面目全非。当神话变成现实，当传说不再神秘，世界无疆，热血永恒。,无疆,连载中,幻想修仙,//book.qidian.com/info/1009265821
三天两觉,//bookcover.yuewen.com/qdbimg/349573/1011085659/150,死而以行为谥。残义损善者，谓之纣。然，此恶谥之祖，实是文治武功，一代枭雄。比之无数上谥之庸才，又当如何？若纣为罪，罪当再临。当这第五王国再次腐朽之时，逆十字的旗帜自当再现。那旗下之恶才、罪徒……亦将再,纣临,连载中,未来世界,//book.qidian.com/info/1011085659
百里玺,//bookcover.yuewen.com/qdbimg/349573/1010259609/150,仙侠和种田结合。一名少年无意打开灵台，识海发现方寸灵山。从此种仙稻，养灵药，开洞府，开辟一片桃源仙境，踏上修仙之路。-------------------百里玺官方粉丝群：332804027,我是仙凡,连载中,幻想修仙,//book.qidian.com/info/1010259609
颓废龙,//bookcover.yuewen.com/qdbimg/349573/3686542/150,一款不受任何保护的地下游戏，一群追逐权利、财富、生命的玩家！命不久矣的秦然，选择进入其中——为了活下去的机会！企鹅群（VIP全订：547350184；普通：392362642）请关注微信公众号：吃货龙,恶魔囚笼,连载中,虚拟网游,//book.qidian.com/info/3686542
卓牧闲,//bookcover.yuewen.com/qdbimg/349573/1010558260/150,天眼，地眼，不如人眼。社区民警，扎根基层，依靠群众之眼屡破奇案。朝阳群众表示：别犯事，否则你就完蛋了！书友群：457372140（欢迎各位书友加入）VIP书友群：580094506（欢迎打赏订阅的书友,朝阳警事,连载中,都市生活,//book.qidian.com/info/1010558260
木恒,//bookcover.yuewen.com/qdbimg/349573/1010766670/150,系统有了，身体却没了，重度拖延症晚期患者方宁开始了自我救赎（苟且偷生）之路。作品讨论群号：294035360VIP群号：我被系统托管了ⅤIP群，群聊号码：726249167有意见联系作者请加群,我被系统托管了,连载中,进化变异,//book.qidian.com/info/1010766670
吴杰超,//bookcover.yuewen.com/qdbimg/349573/1010144088/150,先知先觉，占尽先机；徐越穿越了，本以为靠着自己超前的眼光小日子也能继续混下去，但紧随其后的便是被轮回空间拉入了无尽的轮回任务中。有趣的是，在诸多任务空间内，全都是徐越穿越前所知道的故事世界，而这个世界,无限先知,连载中,东方玄幻,//book.qidian.com/info/1010144088
凡核桃,//bookcover.yuewen.com/qdbimg/349573/1010368052/150,"一个位于深山老林中的研发中心，却汇集了全球所有人的目光,只因这里不时流出的一项成果，就引动着全球的神经。让那些有志直播荒野的主播，有了让金属球跟随的希望。那些想去探寻神秘海底的人，拥有了成功的可能。科",黑科技研发中心,连载中,都市生活,//book.qidian.com/info/1010368052
